Date,Open,High,Low,Close,Adj Close,Volume
5/18/2012,42.04999924,45,38,38.22999954,38.22999954,573576400
5/21/2012,36.52999878,36.65999985,33,34.02999878,34.02999878,168192700
5/22/2012,32.61000061,33.59000015,30.94000053,31,31,101786600
5/23/2012,31.37000084,32.5,31.36000061,32,32,73600000
5/24/2012,32.95000076,33.20999908,31.77000046,33.02999878,33.02999878,50237200
5/25/2012,32.90000153,32.95000076,31.11000061,31.90999985,31.90999985,37149800
5/29/2012,31.47999954,31.69000053,28.64999962,28.84000015,28.84000015,78063400
5/30/2012,28.70000076,29.54999924,27.86000061,28.19000053,28.19000053,57267900
5/31/2012,28.54999924,29.67000008,26.82999992,29.60000038,29.60000038,111639200
6/1/2012,28.88999939,29.14999962,27.38999939,27.71999931,27.71999931,41855500
6/4/2012,27.20000076,27.64999962,26.44000053,26.89999962,26.89999962,35230300
6/5/2012,26.70000076,27.76000023,25.75,25.87000084,25.87000084,42473400
6/6/2012,26.06999969,27.17000008,25.52000046,26.80999947,26.80999947,61489200
6/7/2012,27,27.35000038,26.14999962,26.30999947,26.30999947,26159500
6/8/2012,26.54999924,27.76000023,26.44000053,27.10000038,27.10000038,38034000
6/11/2012,27.18000031,28.06999969,26.84000015,27.01000023,27.01000023,28219600
6/12/2012,27.47999954,27.77000046,26.95999908,27.39999962,27.39999962,15816800
6/13/2012,27.65999985,28.10000038,27.10000038,27.27000046,27.27000046,17102800
6/14/2012,27.64999962,28.31999969,27.37999916,28.29000092,28.29000092,16855000
6/15/2012,28.51000023,30.10000038,28.35000038,30.01000023,30.01000023,43563800
6/18/2012,29.95999908,32.08000183,29.40999985,31.40999985,31.40999985,42978900
6/19/2012,31.54000092,32.18000031,30.70000076,31.90999985,31.90999985,30849000
6/20/2012,31.92000008,31.93000031,31.14999962,31.60000038,31.60000038,15553600
6/21/2012,31.67000008,32.5,31.51000023,31.84000015,31.84000015,21875300
6/22/2012,32.40999985,33.45000076,32.06000137,33.04999924,33.04999924,74834000
6/25/2012,32.86000061,33.02000046,31.54999924,32.06000137,32.06000137,24352900
6/26/2012,32.68999863,33.43999863,32.5,33.09999847,33.09999847,24858700
6/27/2012,32.45999908,32.90000153,31.89999962,32.22999954,32.22999954,28568000
6/28/2012,31.95999908,32.18999863,30.89999962,31.36000061,31.36000061,17713300
6/29/2012,31.92000008,31.98999977,30.76000023,31.10000038,31.10000038,19526900
7/2/2012,31.25,31.72999954,30.54999924,30.77000046,30.77000046,14122000
7/3/2012,30.90999985,31.44000053,30.79999924,31.20000076,31.20000076,8763600
7/5/2012,31.31999969,31.62999916,31.02000046,31.46999931,31.46999931,10032100
7/6/2012,31.44000053,31.89999962,31.26000023,31.72999954,31.72999954,10945600
7/9/2012,32.09999847,32.88000107,31.98999977,32.16999817,32.16999817,17785200
7/10/2012,32.43000031,32.47999954,31.15999985,31.46999931,31.46999931,14269500
7/11/2012,31.47999954,31.55999947,30.54999924,30.96999931,30.96999931,13030300
7/12/2012,30.70000076,31.39999962,30.60000038,30.80999947,30.80999947,11300700
7/13/2012,31.04000092,31.06999969,30.55999947,30.71999931,30.71999931,8108300
7/16/2012,30.5,30.5,28.20999908,28.25,28.25,24672100
7/17/2012,28.47999954,28.59000015,27.14999962,28.09000015,28.09000015,30438600
7/18/2012,28.30999947,29.29000092,28.14999962,29.11000061,29.11000061,16841800
7/19/2012,29.40999985,29.5,28.62999916,29,29,13685100
7/20/2012,29,29.46999931,28.71999931,28.76000023,28.76000023,11869100
7/23/2012,28.12000084,29,28.01000023,28.75,28.75,12390700
7/24/2012,28.81999969,29.45000076,28.10000038,28.45000076,28.45000076,11539800
7/25/2012,28.38999939,29.48999977,28.07999992,29.34000015,29.34000015,17230200
7/26/2012,27.75,28.22999954,26.72999954,26.85000038,26.85000038,64597400
7/27/2012,23.19000053,24.54000092,22.28000069,23.70999908,23.70999908,123102300
7/30/2012,24,24.04000092,23.03000069,23.14999962,23.14999962,29285900
7/31/2012,23.37000084,23.37000084,21.61000061,21.70999908,21.70999908,56179400
8/1/2012,21.5,21.57999992,20.84000015,20.87999916,20.87999916,44604400
8/2/2012,20.77000046,20.84000015,19.81999969,20.04000092,20.04000092,56374500
8/3/2012,20.36000061,22.15999985,19.89999962,21.09000015,21.09000015,80647000
8/6/2012,21.38999939,22.14999962,21.29999924,21.92000008,21.92000008,27778900
